osm_id,name,advertising,lat,lon,geom_source
6818305994,(ohne Name),column,49.4391995,11.0515371,point
6825010385,(ohne Name),column,49.444246,11.0603075,point
6840566799,(ohne Name),billboard,49.4712126,11.0814804,point
6840566800,(ohne Name),billboard,49.4712371,11.0814804,point
6842879686,(ohne Name),column,49.4588458,11.0822949,point
7025659285,(ohne Name),column,49.4289735,11.0862316,point
7034428292,(ohne Name),column,49.4474024,11.0825401,point
7038611586,(ohne Name),column,49.4510295,11.0749203,point
7045903190,(ohne Name),billboard,49.443564,11.0537008,point
7045903486,(ohne Name),billboard,49.443484,11.0536048,point
7069598987,(ohne Name),column,49.435684,11.03864,point
7077870785,(ohne Name),column,49.4298441,11.0456395,point
7077870789,(ohne Name),billboard,49.4304733,11.0754172,point
7077870991,(ohne Name),billboard,49.4305558,11.0756437,point
7077871293,(ohne Name),billboard,49.4305992,11.0757588,point
7077871294,(ohne Name),billboard,49.4305136,11.075528,point
7077871390,(ohne Name),billboard,49.4305314,11.0755777,point
7107441473,(ohne Name),NA,49.4589152,11.1416815,point
7107441474,(ohne Name),NA,49.4589109,11.141681,point
7107441475,(ohne Name),NA,49.4589076,11.1416853,point
7107441476,(ohne Name),NA,49.4589073,11.141692,point
7107441477,(ohne Name),NA,49.4589101,11.141697,point
7107441478,(ohne Name),NA,49.4589144,11.1416975,point
7107441479,(ohne Name),NA,49.4589177,11.1416931,point
7107441480,(ohne Name),NA,49.458918,11.1416865,point
7223250586,(ohne Name),column,49.4367986,11.0889801,point
7239548389,(ohne Name),column,49.4362156,11.0836952,point
7389784555,(ohne Name),billboard,49.4368051,11.1182231,point
7389784556,(ohne Name),billboard,49.4368867,11.1180937,point
7534087691,(ohne Name),column,49.4364097,11.0908182,point
7609292216,(ohne Name),NA,49.4498349,11.0707251,point
7609292217,(ohne Name),NA,49.4498289,11.0707232,point
7609292218,(ohne Name),NA,49.4498238,11.0707284,point
7609292219,(ohne Name),NA,49.4498226,11.0707376,point
7609292220,(ohne Name),NA,49.449826,11.0707455,point
7609292221,(ohne Name),NA,49.449832,11.0707474,point
7609292222,(ohne Name),NA,49.4498371,11.0707422,point
7609292223,(ohne Name),NA,49.4498383,11.0707329,point
7657085914,(ohne Name),billboard,49.4130752,11.1746554,point
7657085915,(ohne Name),billboard,49.4134119,11.1752281,point
7661849712,(ohne Name),billboard,49.4267139,11.0108348,point
7661849713,(ohne Name),billboard,49.422413,11.0144592,point
7773612661,(ohne Name),NA,49.4485227,11.0642043,point
7773612662,(ohne Name),NA,49.4485184,11.0642038,point
7773612663,(ohne Name),NA,49.4485151,11.0642081,point
7773612664,(ohne Name),NA,49.4485148,11.0642148,point
7773612665,(ohne Name),NA,49.4485176,11.0642198,point
7773612666,(ohne Name),NA,49.4485219,11.0642203,point
7773612667,(ohne Name),NA,49.4485252,11.0642159,point
7773612668,(ohne Name),NA,49.4485255,11.0642093,point
8048859545,(ohne Name),NA,49.4415256,11.0156547,point
8048859546,(ohne Name),NA,49.4414519,11.0156661,point
8048859547,(ohne Name),NA,49.4410374,11.0165416,point
8048859548,(ohne Name),NA,49.441051,11.0163415,point
8077896772,(ohne Name),column,49.4594837,11.0605063,point
8365381087,(ohne Name),billboard,49.4073842,11.0001133,point
8660692919,(ohne Name),column,49.4354201,11.0882593,point
8905225422,(ohne Name),column,49.4511012,11.0734315,point
8927790719,(ohne Name),column,49.4326942,11.0866331,point
8952637219,(ohne Name),column,49.4375588,11.0826597,point
8952639917,(ohne Name),billboard,49.4435419,11.094966,point
8952639918,(ohne Name),billboard,49.4435876,11.0949741,point
8969066626,(ohne Name),column,49.449451,11.1300702,point
8980073519,(ohne Name),column,49.4513474,11.0725755,point
8999787517,(ohne Name),column,49.43794,11.0820924,point
9217105706,(ohne Name),column,49.4424143,11.0464549,point
9307567819,(ohne Name),column,49.4288064,11.0683241,point
9307567825,(ohne Name),billboard,49.4294046,11.0718102,point
9307567832,(ohne Name),column,49.4341177,11.0762824,point
9307567926,(ohne Name),billboard,49.4294735,11.0717937,point
9307567927,(ohne Name),billboard,49.4294409,11.0718016,point
9307567936,(ohne Name),column,49.4357185,11.0807386,point
9307568019,(ohne Name),billboard,49.4294056,11.0715369,point
9307568021,(ohne Name),billboard,49.4293708,11.071819,point
